drug_code,mp_code,mp_formal_name,changes
43499,02228955,SUPREFACT DEPOT 2 MONTHS (buserelin (buserelin acetate) 6.3 mg implant) CHEPLAPHARM ARZNEIMITTEL GMBH,DELETED
49816,02230639,TOBRAMYCIN INJECTION (tobramycin (tobramycin sulfate) 20 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD,"mp_status_effective_time: ""20190529"" -> ""20251223"""
49965,02230707,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
50886,02231543,PMS-CARBAMAZEPINE-CR (carbamazepine 200 mg prolonged-release oral tablet) PHARMASCIENCE INC,"mp_status_effective_time: ""20210305"" -> ""20250704"""
50887,02231544,PMS-CARBAMAZEPINE-CR (carbamazepine 400 mg prolonged-release oral tablet) PHARMASCIENCE INC,"mp_status_effective_time: ""20210319"" -> ""20250704"""
51610,02232191,PMS-CLOBETASOL CREAM (clobetasol propionate 0.05 % cutaneous cream) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
51611,02232193,PMS-CLOBETASOL OINTMENT (clobetasol propionate 0.05 % cutaneous ointment) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
51612,02232195,PMS-CLOBETASOL SCALP APPLICATION (clobetasol propionate 0.05 % cutaneous solution) PHARMASCIENCE INC,"mp_status_effective_time: ""20170803"" -> ""20250704"""
60243,02236950,RISPERDAL ORAL SOLUTION (risperidone (risperidone tartrate) 1 mg per mL oral solution) JANSSEN INC,DELETED
68758,02244769,PMS-MOMETASONE (mometasone furoate 0.1 % cutaneous ointment) PHARMASCIENCE INC,"mp_status_effective_time: ""20170825"" -> ""20250704"""
73086,02248722,ACULAR LS (ketorolac tromethamine 0.4 % ophthalmic drops) ABBVIE CORPORATION,DELETED
74506,02259796,RIVA-GABAPENTIN (gabapentin 600 mg oral tablet) LABORATOIRE RIVA INC.,"mp_status_effective_time: ""20170705"" -> ""20260122"""
74507,02259818,RIVA-GABAPENTIN (gabapentin 800 mg oral tablet) LABORATOIRE RIVA INC.,"mp_status_effective_time: ""20170705"" -> ""20260122"""
76137,02275708,REGULAR STRENGTH TYLENOL SINUS DAYTIME (acetaminophen 325 mg and phenylephrine hydrochloride 5 mg oral tablet) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,"mp_status_effective_time: ""20180516"" -> ""20260108"""
