"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
8000250,"trandolapril",9000776,"trandolapril 0.5 mg oral capsule","02231457","MAVIK (trandolapril 0.5 mg oral capsule) BGP PHARMA ULC"
8000250,"trandolapril",9000773,"trandolapril 1 mg oral capsule","02231459","MAVIK (trandolapril 1 mg oral capsule) BGP PHARMA ULC"
8000250,"trandolapril",9000774,"trandolapril 2 mg oral capsule","02231460","MAVIK (trandolapril 2 mg oral capsule) BGP PHARMA ULC"
8000122,"diltiazem",9000716,"diltiazem hydrochloride 120 mg modified-release oral capsule","02231472","DILTIAZEM - CD (diltiazem hydrochloride 120 mg modified-release oral capsule) PRO DOC LIMITEE"
8000122,"diltiazem",9000717,"diltiazem hydrochloride 180 mg modified-release oral capsule","02231474","DILTIAZEM - CD (diltiazem hydrochloride 180 mg modified-release oral capsule) PRO DOC LIMITEE"
8000122,"diltiazem",9000718,"diltiazem hydrochloride 240 mg modified-release oral capsule","02231475","DILTIAZEM - CD (diltiazem hydrochloride 240 mg modified-release oral capsule) PRO DOC LIMITEE"
8000221,"valproic acid",9000677,"valproic acid 500 mg gastro-resistant capsule","02231489","RATIO-VALPROIC (valproic acid 500 mg gastro-resistant capsule) TEVA CANADA LIMITED"
8000027,"azathioprine",9000036,"azathioprine 50 mg oral tablet","02231491","MYLAN-AZATHIOPRINE (azathioprine 50 mg oral tablet) MYLAN PHARMACEUTICALS ULC"
8000244,"latanoprost",9000737,"latanoprost 50 mcg per mL ophthalmic drops","02231493","XALATAN (latanoprost 50 mcg per mL ophthalmic drops) PFIZER CANADA INC"
8000082,"diclofenac",9000317,"diclofenac sodium 75 mg prolonged-release oral tablet","02231504","PMS-DICLOFENAC-SR (diclofenac sodium 75 mg prolonged-release oral tablet) PHARMASCIENCE INC"
8000082,"diclofenac",9000221,"diclofenac sodium 100 mg prolonged-release oral tablet","02231505","PMS-DICLOFENAC-SR (diclofenac sodium 100 mg prolonged-release oral tablet) PHARMASCIENCE INC"
8000082,"diclofenac",9000223,"diclofenac sodium 50 mg suppository","02231506","PMS-DICLOFENAC (diclofenac sodium 50 mg suppository) PHARMASCIENCE INC"
8000082,"diclofenac",9000222,"diclofenac sodium 100 mg suppository","02231508","PMS-DICLOFENAC (diclofenac sodium 100 mg suppository) PHARMASCIENCE INC"
8000213,"estradiol",9000762,"estradiol 3.8 mg transdermal patch","02231509","CLIMARA 50 (estradiol (estradiol hemihydrate) 3.8 mg transdermal patch) BAYER INC"
8000213,"estradiol",9000763,"estradiol 7.6 mg transdermal patch","02231510","CLIMARA 100 (estradiol (estradiol hemihydrate) 7.6 mg transdermal patch) BAYER INC"
8000032,"carbamazepine",9000220,"carbamazepine 200 mg chewable tablet","02231540","PMS-CARBAMAZEPINE (carbamazepine 200 mg chewable tablet) PHARMASCIENCE INC"
8000032,"carbamazepine",9000219,"carbamazepine 100 mg chewable tablet","02231542","PMS-CARBAMAZEPINE (carbamazepine 100 mg chewable tablet) PHARMASCIENCE INC"
8000032,"carbamazepine",9000288,"carbamazepine 200 mg prolonged-release oral tablet","02231543","PMS-CARBAMAZEPINE-CR (carbamazepine 200 mg prolonged-release oral tablet) PHARMASCIENCE INC"
8000032,"carbamazepine",9000289,"carbamazepine 400 mg prolonged-release oral tablet","02231544","PMS-CARBAMAZEPINE-CR (carbamazepine 400 mg prolonged-release oral tablet) PHARMASCIENCE INC"
8000237,"cetirizine",9000707,"cetirizine hydrochloride 10 mg oral tablet","02231603","APO-CETIRIZINE (cetirizine hydrochloride 10 mg oral tablet) APOTEX INC"
8000026,"nortriptyline",9000034,"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","02231781","TEVA-NORTRIPTYLINE (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) TEVA CANADA LIMITED"
8000026,"nortriptyline",9000035,"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","02231782","TEVA-NORTRIPTYLINE (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) TEVA CANADA LIMITED"
8000085,"indomethacin",9000758,"indomethacin 50 mg suppository","02231799","SANDOZ INDOMETHACIN (indomethacin 50 mg suppository) SANDOZ CANADA INCORPORATED"
8000085,"indomethacin",9000470,"indomethacin 100 mg suppository","02231800","SANDOZ INDOMETHACIN (indomethacin 100 mg suppository) SANDOZ CANADA INCORPORATED"
8000134,"budesonide",9000746,"budesonide 64 mcg per actuation nasal spray","02231923","RHINOCORT AQUA (budesonide 64 mcg per actuation nasal spray) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
8000045,"oxycodone",9000367,"oxycodone hydrochloride 5 mg oral tablet","02231934","OXY.IR (oxycodone hydrochloride 5 mg oral tablet) PURDUE PHARMA"
8000071,"morphine",9000740,"morphine sulfate 5 mg suppository","00632228","STATEX SUPPOSITORIES 5MG (morphine sulfate 5 mg suppository) PALADIN LABS INC"
8000071,"morphine",9000739,"morphine sulfate 30 mg suppository","00639389","STATEX SUPPOSITORIES 30MG (morphine sulfate 30 mg suppository) PALADIN LABS INC"
8000246,"donepezil",9000744,"donepezil hydrochloride 5 mg oral tablet","02232043","ARICEPT (donepezil hydrochloride 5 mg oral tablet) PFIZER CANADA INC"
8000246,"donepezil",9000743,"donepezil hydrochloride 10 mg oral tablet","02232044","ARICEPT (donepezil hydrochloride 10 mg oral tablet) PFIZER CANADA INC"
8000043,"ibuprofen",9000757,"ibuprofen 100 mg per 5 mL oral suspension","02232297","CHILDREN'S ADVIL (ibuprofen 100 mg per 5 mL oral suspension) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA INC"
8000132,"salbutamol",9000808,"salbutamol (salbutamol sulfate) 100 mcg pressurised inhalation","02232570","AIROMIR (salbutamol (salbutamol sulfate) 100 mcg pressurised inhalation) VALEANT CANADA LP/VALEANT CANADA S.E.C."
8000065,"acetaminophen and codeine",9000194,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet","02232658","PROCET-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) PRO DOC LIMITEE"
8000118,"enalapril",9000270,"enalapril sodium 4 mg oral tablet","02233005","TEVA-ENALAPRIL (enalapril sodium 4 mg oral tablet) TEVA CANADA LIMITED"
8000118,"enalapril",9000271,"enalapril sodium 8 mg oral tablet","02233006","TEVA-ENALAPRIL (enalapril sodium 8 mg oral tablet) TEVA CANADA LIMITED"
8000118,"enalapril",9000269,"enalapril sodium 16 mg oral tablet","02233007","TEVA-ENALAPRIL (enalapril sodium 16 mg oral tablet) TEVA CANADA LIMITED"
8000251,"olopatadine",9000778,"olopatadine (olopatadine hydrochloride) 0.1 % ophthalmic drops","02233143","PATANOL (olopatadine (olopatadine hydrochloride) 0.1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"
8000256,"cyproterone and ethinyl estradiol",9000797,"cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet",NA,"DIANE-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) BAYER INC"
8000001,"levothyroxine",9001052,"levothyroxine sodium 137 mcg oral tablet","02233852","SYNTHROID (levothyroxine sodium 137 mcg oral tablet) BGP PHARMA ULC"
8000247,"terazosin",9000749,"terazosin (terazosin hydrochloride) 1 mg oral tablet","02234502","APO-TERAZOSIN (terazosin (terazosin hydrochloride) 1 mg oral tablet) APOTEX INC"
8000247,"terazosin",9000750,"terazosin (terazosin hydrochloride) 2 mg oral tablet","02234503","APO-TERAZOSIN (terazosin (terazosin hydrochloride) 2 mg oral tablet) APOTEX INC"
8000247,"terazosin",9000751,"terazosin (terazosin hydrochloride) 5 mg oral tablet","02234504","APO-TERAZOSIN (terazosin (terazosin hydrochloride) 5 mg oral tablet) APOTEX INC"
8000247,"terazosin",9000748,"terazosin (terazosin hydrochloride) 10 mg oral tablet","02234505","APO-TERAZOSIN (terazosin (terazosin hydrochloride) 10 mg oral tablet) APOTEX INC"
8000115,"glyburide",9000250,"glyburide 5 mg oral tablet","02234514","DOM-GLYBURIDE (glyburide 5 mg oral tablet) DOMINION PHARMACAL"
8000010,"methylphenidate",9000753,"methylphenidate hydrochloride 5 mg oral tablet","02234749","PMS-METHYLPHENIDATE (methylphenidate hydrochloride 5 mg oral tablet) PHARMASCIENCE INC"
8000181,"domperidone",9000463,"domperidone (domperidone maleate) 10 mg oral tablet","02236466","PMS-DOMPERIDONE (domperidone (domperidone maleate) 10 mg oral tablet) PHARMASCIENCE INC"
