ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
00653241,TEVA-LENOLTEC NO. 2 (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet) TEVA CANADA LIMITED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02476649,APO-HYDROMORPHONE CR (hydromorphone hydrochloride 9 mg prolonged-release oral capsule) APOTEX INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02262983,SUPEUDOL 20 (oxycodone hydrochloride 20 mg oral tablet) SANDOZ CANADA INCORPORATED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9000585,hydromorphone hydrochloride 50 mg per 1 mL solution for injection vial,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02394197,ACT OXYCODONE CR (oxycodone hydrochloride 20 mg prolonged-release oral tablet) TEVA CANADA LIMITED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02415585,NUCYNTA EXTENDED-RELEASE (tapentadol (tapentadol hydrochloride) 100 mg prolonged-release oral tablet) ENDO OPERATIONS LTD.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9014172,hydromorphone hydrochloride 20 mg per 50 mL solution for injection bag,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9001185,tramadol hydrochloride 400 mg prolonged-release oral tablet,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
77700957,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 50 (hydromorphone hydrochloride 50 mg per mL solution for injection 50 mL vial) STERIMAX INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9001425,fentanyl (fentanyl citrate) 200 mcg buccal tablet,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
00621463,TEVA-LENOLTEC NO. 4 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) TEVA CANADA LIMITED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9001465,morphine sulfate 30 mg oral capsule,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
77700488,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) HIKMA CANADA LIMITED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9000181,codeine phosphate 15 mg oral tablet,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02429969,TRAMADOL / ACETAMINOPHEN (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) SIVEM PHARMACEUTICALS ULC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
00816027,PMS-ACETAMINOPHEN WITH CODEINE ELIXIR (acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution) PHARMASCIENCE INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02549794,PMS-MORPHINE SULFATE (morphine sulfate 5 mg oral tablet) PHARMASCIENCE INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02500728,MORPHINE SULFATE INJECTION (morphine sulfate 10 mg per 1 mL solution for injection ampoule) JAMP PHARMA CORPORATION,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02240131,OXY.IR (oxycodone hydrochloride 10 mg oral tablet) PURDUE PHARMA,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
