drug_code,drug_identification_number,current_brand_name,previous_brand_name
"50292","02231011","CHILDREN'S FEVERHALT  (160MG CHEWABLE TABLETS)","CHILDREN'S FEVERHALT   (160MG CHEWABLE TABLETS)"
"50300","02231018","BENEFIX - (250IU)","BENEFIX  - (250IU)"
"50301","02231019","BENEFIX - (500IU)","BENEFIX  - (500IU)"
"5158","00570540","STRESS TAB WITH IRON AND VITAMIN E","STRESS TAB WITH IRON AND VITAMIN  E"
"60228","02236935","PHL-IPRATROPIUM - 20ML","PHL-IPRATROPIUM  - 20ML"
"60240","02236947","PHL-CLONAZEPAM - 0.25MG","PHL-CLONAZEPAM  - 0.25MG"
"60448","02237133","PHL-CHOLESTYRAMINE REGULAR    - 378G TIN","PHL-CHOLESTYRAMINE REGULAR       - 378G TIN"
"62131","02238699","RETROVIR (AZT)  300MG","RETROVIR (AZT)   300MG"
"6362","00622931","AK TATE OPH SUS 1%","AK TATE  OPH SUS 1%"
"63838","02240300","ATRACURIUM  - (FOR SINGLE DOSE )","ATRACURIUM   -  (FOR SINGLE DOSE )"
"64754","02241148","MONOCOR  -(5MG)","MONOCOR   -(5MG)"
"64755","02241149","MONOCOR     -(10MG)","MONOCOR         -(10MG)"
"68265","02244298","REMINYL  -(4MG)","REMINYL   -(4MG)"
"69455","02245407","METHYLPREDNISOLONE ACETATE INJECTABLE SUSPENSION USP -(40MG/ML WITH PRESERVATIVE)","METHYLPREDNISOLONE ACETATE INJECTABLE SUSPENSION USP  -(40MG/ML WITH PRESERVATIVE)"
"69456","02245408","METHYLPREDNISOLONE ACETATE INJECTABLE SUSPENSION USP  -(80MG/ML WITH PRESERVATIVE)","METHYLPREDNISOLONE ACETATE INJECTABLE SUSPENSION USP   -(80MG/ML WITH PRESERVATIVE)"
"70499","02246340","EVRA  -(6/0.75)","EVRA   -(6/0.75)"
"70523","02246357","ARANESP    -(HSA-FREE)","ARANESP        -(HSA-FREE)"
"72290","02247980","RODAN & FIELDS PROACTIV SOLUTION: OIL FREE MOISTURE WITH SPF 15","RODAN & FIELDS PROACTIV SOLUTION:  OIL FREE MOISTURE WITH SPF 15"
"73491","02250101","AVON NAIL EXPERTS MIRA-CUTICLE ADVANCED MOISTURIZING VANISHING COMPLEX","AVON NAIL EXPERTS  MIRA-CUTICLE ADVANCED MOISTURIZING VANISHING COMPLEX"
"7373","00732516","ACID CONCENTRATE D12054","ACID CONCENTRATE  D12054"
"74857","02263165","OCTREOTIDE ACETATE INJECTION - 50MCG/ML","OCTREOTIDE ACETATE INJECTION  - 50MCG/ML"
"80555","02320096","TRI-PREVIFEM  (21 DAY)","TRI-PREVIFEM   (21 DAY)"
"80556","02320118","TRI-PREVIFEM  (28 DAY)","TRI-PREVIFEM   (28 DAY)"
"8605","00782742","FLEXERIL  -(10MG)","FLEXERIL   -(10MG)"
"8905","00780006","ACID CONCENTRATE D12119","ACID CONCENTRATE  D12119"
"16523","02091275","PMS-FLUPHENAZINE DECANOATE INJ (BP) 25MG/ML","PMS-FLUPHENAZINE DECANOATE INJ (BP)  25MG/ML"
"48903","02230205","PMS-CAPTOPRIL - TAB 50MG","PMS-CAPTOPRIL - TAB  50MG"
"75731","02271788","ONDANSETRON OMEGA  -(WITH PRESERVATIVE - MULTIDOSE VIAL)","ONDANSETRON OMEGA   -(WITH PRESERVATIVE - MULTIDOSE VIAL)"
"52517","02233029","2% IODINE INJECTION","2%  IODINE INJECTION"
"85112","02366274","PRO-LANSOPRAZOLE","LANSOPRAZOLE"
"97913","02489074","LYSOL DISINFECTANT POWERPLUS BATHROOM CLEANER","LYSOL  DISINFECTANT POWERPLUS BATHROOM CLEANER"
"97973","02489651","JAMP KETOTIFEN","JAMP-KETOTIFEN"
