mp_code,mp_formal_name,changes
"02495090","DULOXETINE (duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule) LABORATOIRE RIVA INC","ADDED"
"02495457","MINT-VALGANCICLOVIR (valganciclovir (valganciclovir hydrochloride) 450 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02495562","BISOPROLOL TABLETS (bisoprolol fumarate 5 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ADDED"
"02495570","BISOPROLOL TABLETS (bisoprolol fumarate 10 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ADDED"
"02495732","VYNDAQEL (tafamidis meglumine 20 mg oral capsule) PFIZER CANADA ULC","ADDED"
"02496119","ACCEL-PILOCARPINE (pilocarpine hydrochloride 5 mg oral tablet) ACCEL PHARMA INC","ADDED"
"02496151","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) STERIMAX INC","ADDED"
"02496178","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) STERIMAX INC","ADDED"
"02496186","FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 50 mcg per mL solution for injection 50 mL vial) STERIMAX INC","ADDED"
"02496348","NUBEQA (darolutamide 300 mg oral tablet) BAYER INC","ADDED"
"02496429","MAYZENT (siponimod 0.25 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"02496437","MAYZENT (siponimod 2 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"02497506","TARO-CLOMIPRAMINE (clomipramine hydrochloride 25 mg oral capsule) TARO PHARMACEUTICALS INC","ADDED"
"02497514","TARO-CLOMIPRAMINE (clomipramine hydrochloride 50 mg oral capsule) TARO PHARMACEUTICALS INC","ADDED"
"77700648","ACETYLCYSTEINE INJECTION (acetylcysteine 200 mg per mL solution for injection 10 mL vial) TELIGENT OU","ADDED"
"77700649","ACETYLCYSTEINE INJECTION (acetylcysteine 200 mg per mL solution for injection 30 mL vial) TELIGENT OU","ADDED"
"77700918","OXYTOCIN INJECTION, USP (oxytocin 100 unit per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","mp_formal_name: ""OXYTOCIN INJECTION (oxytocin 100 unit per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD"" -> ""OXYTOCIN INJECTION, USP (oxytocin 100 unit per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD"""
"77700919","OXYTOCIN INJECTION, USP (oxytocin 10 unit per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD","mp_formal_name: ""OXYTOCIN INJECTION (oxytocin 10 unit per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD"" -> ""OXYTOCIN INJECTION, USP (oxytocin 10 unit per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD"""
"77700974","CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 30000 mcg per 30 mL solution for injection vial) STRIDES PHARMA CANADA INC","mp_formal_name: ""CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 30000 mcg per 30 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC"" -> ""CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 30000 mcg per 30 mL solution for injection vial) STRIDES PHARMA CANADA INC"""
"77700975","CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 10000 mcg per 10 mL solution for injection vial) STRIDES PHARMA CANADA INC","mp_formal_name: ""CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 10000 mcg per 10 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC"" -> ""CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 10000 mcg per 10 mL solution for injection vial) STRIDES PHARMA CANADA INC"""
"77701000","LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 400 mg per 20 mL solution for injection vial) TELIGENT OU","mp_formal_name: ""LIDOCAINE 2% AND EPINEPHRINE 1:100,000 INJECTION (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 400 mg per 20 mL solution for injection vial) TELIGENT OU"" -> ""LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 400 mg per 20 mL solution for injection vial) TELIGENT OU"""
"77701001","LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP (epinephrine (epinephrine bitartrate) 0.5 mg per 50 mL and lidocaine hydrochloride 1000 mg per 50 mL solution for injection vial) TELIGENT OU","mp_formal_name: ""LIDOCAINE 2% AND EPINEPHRINE 1:100,000 INJECTION (epinephrine (epinephrine bitartrate) 0.5 mg per 50 mL and lidocaine hydrochloride 1000 mg per 50 mL solution for injection vial) TELIGENT OU"" -> ""LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION USP (epinephrine (epinephrine bitartrate) 0.5 mg per 50 mL and lidocaine hydrochloride 1000 mg per 50 mL solution for injection vial) TELIGENT OU"""
